video_name,predicted_label,confidence_score
01_02__outside_talking_still_laughing__YVGY8LOK,1,0.9777158498764038
01_02__walk_down_hall_angry__YVGY8LOK,1,0.9915335774421692
01_03__hugging_happy__ISF9SP4G,1,0.998898446559906
01_03__podium_speech_happy__480LQD1C,1,0.9998087286949158
01_03__talking_against_wall__JZUXXFRB,1,0.9984294176101685
01_11__meeting_serious__9OM3VE0Y,1,0.9583161473274231
01_11__secret_conversation__4OJNJLOO,1,0.7881375551223755
01_11__talking_against_wall__9229VVZ3,1,0.9999906420707703
01_11__walking_outside_cafe_disgusted__FAFWDR4W,1,0.9995742440223694
01_12__outside_talking_pan_laughing__TNI7KUZ6,1,0.9994814395904541
01_20__outside_talking_pan_laughing__OTGHOG4Z,1,0.9994649291038513
01_20__outside_talking_still_laughing__FW94AIMJ,1,0.9884893298149109
01_21__walk_down_hall_angry__03X7CELV,1,0.9867561459541321
01_27__hugging_happy__ZYCZ30C0,1,0.9900882840156555
01_27__outside_talking_still_laughing__ZYCZ30C0,1,0.996168315410614
01_27__walking_outside_cafe_disgusted__ZYCZ30C0,1,0.9972684979438782
02_01__secret_conversation__YVGY8LOK,1,0.9407626986503601
02_03__walking_down_street_outside_angry__QH3Y0IG0,1,0.991240382194519
02_03__walking_outside_cafe_disgusted__QH3Y0IG0,1,0.9961563348770142
02_06__podium_speech_happy__N8OSN8P6,1,0.9968186616897583
02_06__talking_angry_couch__GH8TGTBS,1,0.9988906383514404
02_06__talking_angry_couch__MKZTXQ2T,1,0.9979584217071533
02_06__walking_and_outside_surprised__N8OSN8P6,1,0.9155353903770447
02_06__walking_down_indoor_hall_disgust__U6MDWIHG,1,0.7106539607048035
02_07__meeting_serious__1JCLEEBQ,1,0.8057507872581482
02_07__walk_down_hall_angry__U7DEOZNV,1,0.9907938838005066
02_07__walking_and_outside_surprised__1VMZUH1W,1,0.9328039884567261
02_07__walking_down_street_outside_angry__O4SXNLRL,1,0.9906247854232788
02_09__exit_phone_room__HIH8YA82,1,0.9990881681442261
02_09__kitchen_pan__HIH8YA82,1,0.9974633455276489
02_12__podium_speech_happy__9D2ZHEKW,1,0.9996189475059509
02_13__exit_phone_room__CP5HFV3K,1,0.9997479915618896
02_13__outside_talking_pan_laughing__2YSYT2N3,1,0.9995356202125549
02_13__podium_speech_happy__2YSYT2N3,1,0.99985271692276
02_13__secret_conversation__CP5HFV3K,1,0.9509871602058411
02_14__outside_talking_pan_laughing__3IUBEKCT,1,0.9993706345558167
02_15__exit_phone_room__I8G2LWD1,1,0.9665626883506775
02_15__exit_phone_room__MZWH8ATN,1,0.9999334812164307
02_15__outside_talking_pan_laughing__I8G2LWD1,1,0.9987059235572815
02_15__outside_talking_pan_laughing__SB6PMCO0,1,0.9946020841598511
02_15__secret_conversation__MZWH8ATN,1,0.932298481464386
02_15__talking_against_wall__HTG660F8,1,0.999613881111145
02_15__talking_angry_couch__HTG660F8,1,0.9991565942764282
02_15__talking_angry_couch__I8G2LWD1,1,0.9945735931396484
02_15__walk_down_hall_angry__TN2CWM3K,1,0.9893016219139099
02_15__walking_and_outside_surprised__HTG660F8,1,0.9272899627685547
02_15__walking_and_outside_surprised__I8G2LWD1,1,0.9153382182121277
02_15__walking_and_outside_surprised__MZWH8ATN,1,0.947942852973938
02_18__exit_phone_room__OXMEEFUQ,1,0.9907746911048889
02_18__outside_talking_pan_laughing__OXMEEFUQ,1,0.9993805289268494
02_18__walking_down_street_outside_angry__21JTDDEL,1,0.9996888637542725
02_21__kitchen_pan__Z0XHPQAR,1,0.9955955743789673
02_21__talking_angry_couch__Z0XHPQAR,1,0.999045193195343
02_25__talking_against_wall__Z7FQ69VP,1,0.9999399781227112
02_27__hugging_happy__GVFLSZD5,1,0.986327588558197
02_27__walk_down_hall_angry__78M8S6M6,1,0.9966002702713013
03_01__walking_and_outside_surprised__JZUXXFRB,1,0.9468100070953369
03_04__outside_talking_pan_laughing__T04P6ELC,1,0.9998183846473694
03_04__talking_angry_couch__T04P6ELC,1,0.9991422295570374
03_06__meeting_serious__83ABVHC3,1,0.9948709011077881
03_06__podium_speech_happy__83ABVHC3,1,0.9785824418067932
03_07__hugging_happy__BKLOCI1M,1,0.9997450709342957
03_07__walk_down_hall_angry__6PHZRQ4H,1,0.9999330043792725
03_07__walk_down_hall_angry__IFSURI9X,1,0.9999287128448486
03_07__walking_down_indoor_hall_disgust__PWXXULHR,1,0.9672609567642212
03_07__walking_outside_cafe_disgusted__CDSNLDQ8,1,0.9848162531852722
03_07__walking_outside_cafe_disgusted__IFSURI9X,1,0.9999604821205139
03_07__walking_outside_cafe_disgusted__PWXXULHR,1,0.9928017258644104
03_09__outside_talking_still_laughing__RCETIXYL,1,0.9999297857284546
03_09__secret_conversation__RCETIXYL,1,0.9392963647842407
03_11__exit_phone_room__P08VGHTA,1,0.9999798536300659
03_11__talking_against_wall__P08VGHTA,1,0.9973011612892151
03_13__kitchen_pan__GBYWJW06,1,0.9999892711639404
03_13__meeting_serious__GBYWJW06,1,0.9902296662330627
03_13__meeting_serious__T3MZOI8X,1,0.9914880990982056
03_13__outside_talking_still_laughing__GBYWJW06,1,0.9992095232009888
03_14__podium_speech_happy__Q9NSXM88,1,0.997421383857727
03_14__talking_against_wall__ZC2KYASW,1,0.9999990463256836
03_14__walk_down_hall_angry__P1L5PF4I,1,0.9997056126594543
03_14__walking_down_street_outside_angry__H0VQHGS3,1,0.9999945759773254
03_15__kitchen_pan__AIOM1U5V,1,0.9999988079071045
03_15__kitchen_pan__DNUJD8M2,1,0.9999930262565613
03_15__outside_talking_pan_laughing__Y11NT1YX,1,0.9987092614173889
03_15__outside_talking_still_laughing__DNUJD8M2,1,0.9993351101875305
03_15__podium_speech_happy__DG8ITQO3,1,0.9996606707572937
03_18__walking_and_outside_surprised__8HNSXOBW,1,0.9713671207427979
03_18__walking_outside_cafe_disgusted__22UBC0BS,1,0.9636117815971375
03_21__exit_phone_room__YCSEBZO4,1,0.9999799132347107
03_21__kitchen_pan__YCSEBZO4,1,0.9999451041221619
03_21__meeting_serious__V53E3RVB,1,0.9913830161094666
03_21__secret_conversation__YCSEBZO4,1,0.9192593693733215
03_26__kitchen_pan__WBSXBL82,1,0.9999929070472717
03_26__kitchen_still__WBSXBL82,1,0.9999960660934448
03_26__talking_against_wall__WBSXBL82,1,0.9999926686286926
03_27__walk_down_hall_angry__IL675GCI,1,0.9704230427742004
03_27__walking_down_indoor_hall_disgust__IL675GCI,1,0.8045587539672852
04_01__exit_phone_room__0XUW13RW,1,0.964070737361908
