filename,true_label,predicted_label,is_correct
01__exit_phone_room.mp4,real,0,True
01__hugging_happy.mp4,real,0,True
01__kitchen_pan.mp4,real,0,True
01__kitchen_still.mp4,real,0,True
01__meeting_serious.mp4,real,0,True
01__outside_talking_pan_laughing.mp4,real,0,True
01__outside_talking_still_laughing.mp4,real,0,True
01__podium_speech_happy.mp4,real,0,True
01__secret_conversation.mp4,real,1,False
01__talking_against_wall.mp4,real,0,True
01__talking_angry_couch.mp4,real,0,True
01__walk_down_hall_angry.mp4,real,0,True
01__walking_and_outside_surprised.mp4,real,1,False
01__walking_down_indoor_hall_disgust.mp4,real,1,False
01__walking_down_street_outside_angry.mp4,real,0,True
01__walking_outside_cafe_disgusted.mp4,real,0,True
02__exit_phone_room.mp4,real,0,True
02__hugging_happy.mp4,real,0,True
02__kitchen_pan.mp4,real,0,True
02__kitchen_still.mp4,real,0,True
02__meeting_serious.mp4,real,0,True
02__outside_talking_pan_laughing.mp4,real,0,True
02__outside_talking_still_laughing.mp4,real,0,True
02__podium_speech_happy.mp4,real,0,True
02__secret_conversation.mp4,real,1,False
02__talking_against_wall.mp4,real,0,True
02__talking_angry_couch.mp4,real,1,False
02__walk_down_hall_angry.mp4,real,0,True
02__walking_and_outside_surprised.mp4,real,1,False
02__walking_down_indoor_hall_disgust.mp4,real,1,False
02__walking_down_street_outside_angry.mp4,real,0,True
02__walking_outside_cafe_disgusted.mp4,real,0,True
03__exit_phone_room.mp4,real,0,True
03__hugging_happy.mp4,real,0,True
03__kitchen_pan.mp4,real,0,True
03__kitchen_still.mp4,real,0,True
03__meeting_serious.mp4,real,1,False
03__outside_talking_pan_laughing.mp4,real,0,True
03__outside_talking_still_laughing.mp4,real,0,True
03__podium_speech_happy.mp4,real,0,True
03__secret_conversation.mp4,real,1,False
03__talking_against_wall.mp4,real,0,True
03__talking_angry_couch.mp4,real,0,True
03__walk_down_hall_angry.mp4,real,0,True
03__walking_and_outside_surprised.mp4,real,0,True
03__walking_down_indoor_hall_disgust.mp4,real,0,True
03__walking_down_street_outside_angry.mp4,real,0,True
03__walking_outside_cafe_disgusted.mp4,real,0,True
04__exit_phone_room.mp4,real,0,True
04__kitchen_pan.mp4,real,0,True
04__kitchen_still.mp4,real,0,True
04__outside_talking_pan_laughing.mp4,real,0,True
04__outside_talking_still_laughing.mp4,real,0,True
04__podium_speech_happy.mp4,real,0,True
04__secret_conversation.mp4,real,0,True
04__talking_against_wall.mp4,real,0,True
04__talking_angry_couch.mp4,real,0,True
04__walk_down_hall_angry.mp4,real,0,True
04__walking_down_street_outside_angry.mp4,real,0,True
04__walking_outside_cafe_disgusted.mp4,real,1,False
05__exit_phone_room.mp4,real,0,True
05__hugging_happy.mp4,real,0,True
05__kitchen_pan.mp4,real,0,True
05__kitchen_still.mp4,real,0,True
05__outside_talking_pan_laughing.mp4,real,0,True
05__outside_talking_still_laughing.mp4,real,0,True
05__podium_speech_happy.mp4,real,0,True
05__talking_against_wall.mp4,real,0,True
05__walk_down_hall_angry.mp4,real,0,True
05__walking_down_street_outside_angry.mp4,real,0,True
05__walking_outside_cafe_disgusted.mp4,real,0,True
06__exit_phone_room.mp4,real,0,True
06__hugging_happy.mp4,real,0,True
06__kitchen_pan.mp4,real,0,True
06__kitchen_still.mp4,real,0,True
06__outside_talking_pan_laughing.mp4,real,0,True
06__outside_talking_still_laughing.mp4,real,0,True
06__podium_speech_happy.mp4,real,1,False
06__talking_against_wall.mp4,real,0,True
06__talking_angry_couch.mp4,real,0,True
06__walk_down_hall_angry.mp4,real,0,True
06__walking_and_outside_surprised.mp4,real,1,False
06__walking_down_indoor_hall_disgust.mp4,real,1,False
06__walking_down_street_outside_angry.mp4,real,0,True
06__walking_outside_cafe_disgusted.mp4,real,0,True
07__exit_phone_room.mp4,real,0,True
07__hugging_happy.mp4,real,0,True
07__kitchen_pan.mp4,real,0,True
07__kitchen_still.mp4,real,0,True
07__outside_talking_pan_laughing.mp4,real,0,True
07__outside_talking_still_laughing.mp4,real,0,True
